"Any","Codi_Districte_baixa","Nom_Districte_baixa","Codi_Barri_baixa","Nom_Barri_baixa","Codi_Districte_alta","Nom_Districte_alta","Codi_Barri_alta","Nom_Barri_alta","Sexe","Nombre"
"2021","1","Ciutat Vella",1,"el Raval",1,"Ciutat Vella","1","el Raval","Dona",1053
"2021","1","Ciutat Vella",1,"el Raval",1,"Ciutat Vella","2","el Gòtic","Dona",164
"2021","1","Ciutat Vella",1,"el Raval",1,"Ciutat Vella","3","la Barceloneta","Dona",55
"2021","1","Ciutat Vella",1,"el Raval",1,"Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Dona",88
"2021","1","Ciutat Vella",1,"el Raval",2,"Eixample","5","el Fort Pienc","Dona",48
"2021","1","Ciutat Vella",1,"el Raval",2,"Eixample","6","la Sagrada Família","Dona",56
"2021","1","Ciutat Vella",1,"el Raval",2,"Eixample","7","la Dreta de l'Eixample","Dona",51
"2021","1","Ciutat Vella",1,"el Raval",2,"Eixample","8","l'Antiga Esquerra de l'Eixample","Dona",66
"2021","1","Ciutat Vella",1,"el Raval",2,"Eixample","9","la Nova Esquerra de l'Eixample","Dona",91
"2021","1","Ciutat Vella",1,"el Raval",2,"Eixample","10","Sant Antoni","Dona",210
"2021","1","Ciutat Vella",1,"el Raval",3,"Sants-Montjuïc","11","el Poble Sec","Dona",223
"2021","1","Ciutat Vella",1,"el Raval",3,"Sants-Montjuïc","12","la Marina del Prat Vermell","Dona",7
"2021","1","Ciutat Vella",1,"el Raval",3,"Sants-Montjuïc","13","la Marina de Port","Dona",30
"2021","1","Ciutat Vella",1,"el Raval",3,"Sants-Montjuïc","14","la Font de la Guatlla","Dona",16
"2021","1","Ciutat Vella",1,"el Raval",3,"Sants-Montjuïc","15","Hostafrancs","Dona",16
"2021","1","Ciutat Vella",1,"el Raval",3,"Sants-Montjuïc","16","la Bordeta","Dona",18
"2021","1","Ciutat Vella",1,"el Raval",3,"Sants-Montjuïc","17","Sants - Badal","Dona",19
"2021","1","Ciutat Vella",1,"el Raval",3,"Sants-Montjuïc","18","Sants","Dona",60
"2021","1","Ciutat Vella",1,"el Raval",4,"Les Corts","19","les Corts","Dona",24
"2021","1","Ciutat Vella",1,"el Raval",4,"Les Corts","20","la Maternitat i Sant Ramon","Dona",5
"2021","1","Ciutat Vella",1,"el Raval",4,"Les Corts","21","Pedralbes","Dona",2
"2021","1","Ciutat Vella",1,"el Raval",5,"Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","Dona",2
"2021","1","Ciutat Vella",1,"el Raval",5,"Sarrià-Sant Gervasi","23","Sarrià","Dona",13
"2021","1","Ciutat Vella",1,"el Raval",5,"Sarrià-Sant Gervasi","24","les Tres Torres","Dona",1
"2021","1","Ciutat Vella",1,"el Raval",5,"Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","Dona",14
"2021","1","Ciutat Vella",1,"el Raval",5,"Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany","Dona",15
"2021","1","Ciutat Vella",1,"el Raval",5,"Sarrià-Sant Gervasi","27","el Putget i Farró","Dona",12
"2021","1","Ciutat Vella",1,"el Raval",6,"Gràcia","28","Vallcarca i els Penitents","Dona",13
"2021","1","Ciutat Vella",1,"el Raval",6,"Gràcia","29","el Coll","Dona",9
"2021","1","Ciutat Vella",1,"el Raval",6,"Gràcia","30","la Salut","Dona",5
"2021","1","Ciutat Vella",1,"el Raval",6,"Gràcia","31","Vila de Gràcia","Dona",68
"2021","1","Ciutat Vella",1,"el Raval",6,"Gràcia","32","el Camp d'en Grassot i Gràcia Nova","Dona",29
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","33","el Baix Guinardó","Dona",13
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","34","Can Baró","Dona",9
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","35","el Guinardó","Dona",29
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","36","la Font d'en Fargues","Dona",3
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","37","el Carmel","Dona",17
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","38","la Teixonera","Dona",5
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","39","Sant Genís dels Agudells","Dona",2
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","40","Montbau","Dona",4
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","41","la Vall d'Hebron","Dona",1
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","42","la Clota","Dona",1
"2021","1","Ciutat Vella",1,"el Raval",7,"Horta-Guinardó","43","Horta","Dona",18
"2021","1","Ciutat Vella",1,"el Raval",8,"Nou Barris","44","Vilapicina i la Torre Llobeta","Dona",9
"2021","1","Ciutat Vella",1,"el Raval",8,"Nou Barris","45","Porta","Dona",10
"2021","1","Ciutat Vella",1,"el Raval",8,"Nou Barris","46","el Turó de la Peira","Dona",3
"2021","1","Ciutat Vella",1,"el Raval",8,"Nou Barris","47","Can Peguera","Dona",2
"2021","1","Ciutat Vella",1,"el Raval",8,"Nou Barris","48","la Guineueta","Dona",5
"2021","1","Ciutat Vella",1,"el Raval",8,"Nou Barris","49","Canyelles","Dona",4
"2021","1","Ciutat Vella",1,"el Raval",8,"Nou Barris","50","les Roquetes","Dona",9
"2021","1","Ciutat Vella",1,"el Raval",8,"Nou Barris","51","Verdun","Dona",5
"2021","1","Ciutat Vella",1,"el Raval",8,"Nou Barris","52","la Prosperitat","Dona",5
